 Created on  5Nov2024 at 15:15:29 
   -0.301973    0.003879    0.953308
   -0.262420    0.135828    0.955346
    0.038103    0.134191   -0.990223
    0.439576    0.367825   -0.819437
    0.532076   -0.093007    0.841573
    0.166170   -0.353666    0.920493
   -0.793788    0.004860   -0.608175
   -0.613211   -0.057664   -0.787811
    0.091932   -0.157108    0.983293
   -0.182275   -0.816130    0.548368
    0.180632    0.040757   -0.982706
    0.432036   -0.659649   -0.614987
    0.240202    0.728402    0.641665
   -0.365732   -0.496786    0.787048
    0.841565   -0.394650    0.368808
    0.601397   -0.251758   -0.758248
   -0.100945   -0.380160    0.919396
   -0.404850   -0.469025    0.784928
    0.445863    0.118162   -0.887268
    0.665140   -0.618637   -0.418182
   -0.731717   -0.598719    0.325771
    0.658195    0.288271    0.695470
   -0.224972    0.421517   -0.878471
    0.046766   -0.136010   -0.989603
    0.300002   -0.357841    0.884279
   -0.418301   -0.023592    0.908002
   -0.107399    0.384923   -0.916679
    0.000104   -0.247220   -0.968959
   -0.176053   -0.360097    0.916153
   -0.045652    0.261232    0.964196
    0.573680    0.089850   -0.814137
    0.032223   -0.039701   -0.998692
   -0.256063   -0.071744    0.963994
   -0.319242   -0.006777    0.947649
    0.439478    0.689910   -0.575225
   -0.388364    0.420592   -0.819924
    0.316109    0.638297    0.701892
   -0.248533    0.406952    0.878989
   -0.274085    0.012957   -0.961618
    0.187938    0.146221   -0.971236
   -0.549540   -0.707737    0.443975
   -0.359861    0.053095    0.931494
    0.265970   -0.177842   -0.947435
   -0.427751   -0.225189   -0.875397
   -0.025747    0.167161    0.985593
   -0.258909    0.638827    0.724477
   -0.051597   -0.626262   -0.777903
    0.254868   -0.102845   -0.961491
   -0.404626   -0.405432    0.819697
   -0.398357    0.554735    0.730467
   -0.254958    0.185618   -0.948969
   -0.396097   -0.244842   -0.884963
   -0.360228   -0.364121    0.858866
   -0.165242    0.205832    0.964535
    0.812372   -0.436494   -0.386685
    0.082550   -0.879063   -0.469504
   -0.346146    0.680082    0.646275
   -0.557526   -0.312140    0.769242
    0.878486    0.123716   -0.461472
    0.795658    0.016774   -0.605514
   -0.036270    0.469215    0.882339
   -0.067000    0.181349    0.981134
    0.863770   -0.323443   -0.386375
    0.831655   -0.096984   -0.546758
   -0.396875    0.209636    0.893612
   -0.557970   -0.794470    0.239767
    0.165133   -0.191323   -0.967536
   -0.242914    0.549966   -0.799081
   -0.094108   -0.992386   -0.079454
   -0.443449   -0.739453    0.506519
   -0.113808    0.179910   -0.977077
    0.765277    0.325398   -0.555398
   -0.096484   -0.755166    0.648394
   -0.452394    0.219031    0.864503
    0.247885    0.181433   -0.951649
    0.357383    0.699581   -0.618760
   -0.133753   -0.904540    0.404868
    0.081143   -0.164311    0.983066
   -0.417408    0.129438   -0.899453
   -0.910049    0.190849   -0.367950
   -0.105366   -0.899359    0.424324
   -0.483405    0.194563    0.853502
    0.081314   -0.549008   -0.831853
   -0.222492   -0.507603   -0.832368
   -0.413589    0.329666    0.848684
   -0.782075   -0.447698    0.433504
    0.288505   -0.641059   -0.711202
    0.670732   -0.137746   -0.728797
   -0.632072    0.531962    0.563472
    0.534432    0.755997    0.377957
   -0.174921    0.966923   -0.185643
    0.215922    0.797160   -0.563838
   -0.128928   -0.260906    0.956716
   -0.248161   -0.430234    0.867937
    0.722429    0.660266   -0.205295
    0.492079    0.435117   -0.754010
    0.230524   -0.328506    0.915938
    0.322114   -0.464900    0.824688
   -0.174380    0.562238   -0.808381
   -0.460223    0.328820   -0.824665
   -0.404508    0.012665    0.914447
    0.066981   -0.687374    0.723208
    0.117761    0.453671   -0.883354
    0.034167    0.644990   -0.763426
    0.307412   -0.384028    0.870643
   -0.636043   -0.126972    0.761135
    0.869717    0.151031   -0.469874
    0.737464    0.598111   -0.313705
   -0.197030   -0.739092    0.644145
   -0.204404   -0.753487    0.624881
   -0.548931    0.623472   -0.556738
    0.685661    0.220642   -0.693676
    0.208197   -0.834194    0.510660
    0.561960   -0.685474    0.462954
   -0.879651    0.011374   -0.475484
   -0.290628    0.924109   -0.248111
    0.350100   -0.049234    0.935418
    0.132903    0.573647    0.808249
   -0.566796   -0.095477   -0.818307
   -0.734263    0.400183   -0.548371
    0.023739   -0.735610    0.676989
   -0.170627    0.549606    0.817814
    0.199235    0.530592   -0.823880
   -0.181758    0.760592   -0.623269
   -0.408133    0.411793    0.814772
   -0.468092   -0.256998    0.845483
    0.050949    0.129913   -0.990216
   -0.509569    0.061375   -0.858238
    0.140482    0.335946    0.931346
    0.207826    0.583125    0.785349
   -0.129678    0.024351   -0.991257
   -0.468473   -0.110993   -0.876478
   -0.452587    0.252806    0.855134
    0.285190    0.006851    0.958447
   -0.441031    0.030959   -0.896958
    0.789845    0.228611   -0.569106
   -0.017311   -0.834628    0.550542
    0.191576   -0.202045    0.960456
    0.500599    0.007507   -0.865647
   -0.979455    0.201578    0.005828
    0.807155   -0.322319    0.494581
   -0.386285   -0.889455    0.244239
    0.113272    0.551353   -0.826547
   -0.027325   -0.011345   -0.999562
    0.851144   -0.383993    0.357915
   -0.159118    0.337698    0.927708
   -0.243732   -0.165425   -0.955630
    0.188086    0.114215   -0.975489
   -0.105831    0.286361    0.952259
    0.140222    0.156255    0.977713
   -0.472500    0.248762   -0.845495
   -0.048002   -0.379733   -0.923850
   -0.207434   -0.271667    0.939770
   -0.172008   -0.548365    0.818358
   -0.363375    0.140532   -0.920983
   -0.347087    0.082297   -0.934215
    0.296218   -0.058203    0.953345
   -0.550268   -0.190204    0.813036
    0.075351    0.199849   -0.976925
    0.056826   -0.435704   -0.898295
    0.032016    0.732574    0.679934
    0.119103   -0.263867    0.957178
   -0.193832    0.062621   -0.979034
    0.185562   -0.010764   -0.982574
   -0.337185   -0.188401    0.922394
   -0.314114   -0.368177    0.875088
    0.230337   -0.082644   -0.969595
    0.348039    0.195966   -0.916769
   -0.194928   -0.253545    0.947480
    0.593895   -0.125833    0.794641
    0.666670    0.564881   -0.486273
    0.515735    0.147959   -0.843875
    0.373097   -0.804643    0.461896
    0.556882   -0.397208    0.729457
   -0.039551    0.375927   -0.925805
   -0.162602   -0.310386   -0.936601
    0.020681    0.448846    0.893370
    0.807010    0.012260    0.590411
    0.361799    0.655285   -0.663101
   -0.081696    0.628507   -0.773501
    0.151245    0.502052    0.851510
   -0.336547   -0.511062    0.790918
    0.030316   -0.155306   -0.987401
    0.442263    0.367067   -0.818331
   -0.002356   -0.659642    0.751576
   -0.738751    0.035933    0.673020
   -0.009679   -0.559175   -0.828993
    0.071968    0.261766   -0.962444
    0.258987   -0.158363    0.952810
    0.199991    0.099070    0.974776
   -0.063493   -0.283412   -0.956894
    0.150702   -0.267259   -0.951768
   -0.060150    0.203132    0.977302
    0.337785    0.347136    0.874870
